hour,score
7.33,73
3.71,55
3.43,55
3.06,89
3.33,79
7.22,26
8.12,15
5.74,62
8.73,59
4.73,74
5,78
2.63,46
7.02,5
3.45,38
3.06,49
4.13,66
9.17,29
7.61,74
0.94,34
3.67,71
8.47,9
2.86,67
1.9,43
6.08,0
8.42,90
6.12,77
0,47
2.16,50
2.24,38
2.31,23
8.03,31
9.02,2
2.43,20
4.5,80
8.66,70
7.95,75
2.03,26
5.43,74
4.44,78
3.17,76
1.53,42
7.85,25
7.42,85
2.14,47
2.02,36
9.43,69
7.94,22
1.83,74
7.6,23
6.41,35
7.21,94
2.53,75
7.75,16
8.08,27
4.61,62
4.04,83
4.25,61
2.44,96
2.06,51
7.94,29
6.96,20
8.34,89
8.5,76
6.91,82
7.26,76
8.11,27
8.94,15
4.71,80
8.08,22
7.76,78
1.05,52
8.58,75
7.83,74
7.85,75
2.28,39
2.56,43
2.35,57
2.22,59
4.29,91
9.5,100
7.81,19
8.33,80
8.07,25
8.06,38
7.61,79
3.24,77
2.33,30
8.97,14
8.89,79
1.83,52
2.13,68
8.03,37
5.8,78
10,86
2.41,24
6.21,56
7.76,84
5.22,87
6.65,13
2.46,30
